,Stock name,Symbol,Country of origin
199,Corporate Office Properties Trust,OFC,US
200,Corrections Corporation of America,CXW,US
201,Cosan,CZZ,Brazil
202,Costamare,CMRE,Greece
203,Cott,COT,Canada
204,"Coty, Inc.",COTY,US
205,"Country Style Cooking Restaurant Chain Co., Ltd.",CCSC,US
206,Coupons.com,COUP,US
207,Cousins Properties,CUZ,US
208,Covance,CVD,US
209,Covanta Energy,CVA,US
210,Covidien,COV,Ireland
211,CPFL Energia,CPL,Brazil
212,Crane Co.,CR,US
213,Crawford & Company,CRD.A,US
214,Crawford & Company,CRD.B,US
215,Credicorp,BAP,Peru
216,Credit Suisse,CS,Switzerland
217,Crescent Point Energy,CPG,US
218,Crestwood Equity Partners LP,CEQP,US
219,"Crestwood Midstream, L.P.",CMLP,US
220,CRH plc,CRH,Ireland
221,Cross Timbers Royalty Trust,CRT,US
222,Crown Castle,CCI,US
223,Crown Castle Preferred,CCI.PRA,US
224,Crown Holdings,CCK,US
225,CryoLife,CRY,US
226,CSS Industries,CSS,US
227,CST Brands,CST,US
228,CSX Corporation,CSX,US
229,CTS Corporation,CTS,US
230,CubeSmart,CUBE,US
231,Cubic Corporation,CUB,US
232,Frost Bank,CFR,US
233,"Culp, Inc.",CFI,US
234,Cummins,CMI,US
235,Curtiss-Wright,CW,US
236,Cvent,CVT,US
237,"CVR Energy, Inc.",CVI,US
238,CVR Partners,UAN,US
239,"CVR Refining, LP",CVRR,US
240,CVS Health,CVS,US
241,"Cypress Energy Partners, L.P.",CELP,US
242,"CYS Investments, Inc.",CYS,US
243,Cytec Industries,CYT,US
0,D. R. Horton Inc.,DHI,US
1,D&B Corporation,DNB,US
2,Dana Holding Corporation,DAN,US
3,Danaher Corporation,DHR,US
4,Danaos Corporation,DAC,Greece
5,DAQO New Energy Corp.,DQ,Cayman Islands
6,"Darden Restaurants, Inc.",DRI,US
7,Darling Ingredients Inc.,DAR,US
8,DaVita Inc.,DVA,US
9,"DCP Midstream Partners, LP",DPM,US
10,Deckers Outdoor Corporation,DECK,US
11,Deere & Company,DE,US
12,Delaware Enhanced Global Dividend & Income Fund,DEX,US
13,"Delaware Investments Dividend and Income Fund, Inc.",DDF,US
14,"Delek Logistics Partners, LP",DKL,US
15,"Delek US Holdings, Inc.",DK,US
16,Delphi Automotive PLC,DLPH,US
17,"Delta Air Lines, Inc.",DAL,US
18,Deltic Timber Corporation,DEL,US
19,Deluxe Corporation,DLX,US
20,"Demand Media, Inc.",DMD,US
21,"Demandware, Inc.",DWRE,US
22,The Denali Fund Inc.,DNY,US
23,Denbury Inc.,DEN,US
24,Deutsche Bank AG,DB,Germany
25,Deutsche Bank Capital Funding Trust IX,DTT,US
